日期,合约编码,交易代码,报价时间,到期日,期权类型,执行价,开盘价,最高价,最低价,收盘价,成交量,持仓量,成交额,合约单位,标的代码,标的收盘价,距离到期日天数,距离到期日时间（折算成年）,无风险利率,经插值的隐含波动率,原始隐含波动率,Delta,Gamma,Vega,Theta,Rho,理论价格,模型误差,hv10,hv20,hv30,hv60,hv90,hv120,hv150,hv180,期货代码,期货价格,连续标志
20201009,10002477,510050C2012M02600,2020-10-09,20201223,C,2.6,0.7082,0.7288,0.7017,0.7091,70,2173,497764,10000,510050,3.337,75,0.205479,0.0279,0.1347,,1.0,0.0003,0.0,-0.0002,0.0053,0.7518,-0.0427,0.2128,0.1849,0.1732,0.2151,0.2449,0.2216,0.2369,0.2445,IH2012,3241.6,L3
20201012,10002477,510050C2012M02600,2020-10-12,20201223,C,2.6,0.7297,0.8208,0.7297,0.8177,168,2172,1312443,10000,510050,3.442,72,0.19726,0.0278,0.1629,,1.0,0.0006,0.0,-0.0002,0.0051,0.8562,-0.0385,0.2253,0.2123,0.1932,0.2183,0.2493,0.2254,0.2399,0.2468,IH2012,3357.0,L3
20201013,10002477,510050C2012M02600,2020-10-13,20201223,C,2.6,0.8073,0.82,0.7965,0.8155,24,2171,193638,10000,510050,3.437,71,0.194521,0.0345,0.1589,,1.0,0.0003,0.0,-0.0002,0.005,0.8544,-0.0389,0.2127,0.2024,0.1933,0.2169,0.2494,0.2253,0.2367,0.2466,IH2012,3353.0,L3
20201014,10002477,510050C2012M02600,2020-10-14,20201223,C,2.6,0.7993,0.8037,0.7928,0.7997,15,2174,119691,10000,510050,3.424,70,0.191781,0.032,0.152,,1.0,0.0002,0.0,-0.0002,0.005,0.8399,-0.0402,0.2016,0.2009,0.1935,0.2159,0.2496,0.2245,0.234,0.2467,IH2012,3341.2,L3
20201015,10002477,510050C2012M02600,2020-10-15,20201223,C,2.6,0.8138,0.8255,0.7995,0.81,22,2182,178829,10000,510050,3.425,69,0.189041,0.0291,0.1432,,1.0,0.0001,0.0,-0.0002,0.0049,0.8393,-0.0293,0.2018,0.1914,0.1906,0.2151,0.2474,0.2241,0.234,0.2466,IH2012,3346.0,L3
20201016,10002477,510050C2012M02600,2020-10-16,20201223,C,2.6,0.8304,0.837,0.791,0.8155,28,2164,228448,10000,510050,3.432,68,0.186301,0.0279,0.119,,1.0,0.0,0.0,-0.0002,0.0048,0.8455,-0.03,0.1725,0.1914,0.1901,0.1952,0.2474,0.2241,0.2337,0.2466,IH2012,3353.2,L3
20201019,10002477,510050C2012M02600,2020-10-19,20201223,C,2.6,0.8333,0.8669,0.7833,0.7913,83,2202,687476,10000,510050,3.409,65,0.178082,0.0285,0.0872,,1.0,0.0,0.0,-0.0002,0.0046,0.8222,-0.0309,0.1817,0.1934,0.1783,0.1954,0.2478,0.2237,0.2324,0.2465,IH2012,3326.0,L3
20201020,10002477,510050C2012M02600,2020-10-20,20201223,C,2.6,0.7862,0.7929,0.7833,0.7927,6,2168,47324,10000,510050,3.412,64,0.175342,0.0287,0.165,,1.0,0.0005,0.0,-0.0002,0.0045,0.8251,-0.0324,0.1817,0.1917,0.1767,0.1854,0.2477,0.2237,0.2311,0.2464,IH2012,3331.8,L3
20201021,10002477,510050C2012M02600,2020-10-21,20201223,C,2.6,0.8017,0.8116,0.787,0.8116,60,2157,478821,10000,510050,3.433,63,0.172603,0.0285,0.1493,,1.0,0.0,0.0,-0.0002,0.0045,0.8457,-0.0341,0.1797,0.191,0.1773,0.1858,0.2478,0.223,0.2276,0.2465,IH2012,3351.0,L3
20201022,10002477,510050C2012M02600,2020-10-22,20201223,C,2.6,0.8033,0.8113,0.7606,0.8041,52,2146,407286,10000,510050,3.42,62,0.169863,0.0283,0.151,,1.0,0.0001,0.0,-0.0002,0.0044,0.8325,-0.0284,0.1791,0.19,0.1775,0.186,0.2479,0.223,0.2267,0.2465,IH2012,3342.6,L3
